target,hops,direct_origin,direct_related,direct_other_foreign,direct_related_weight,direct_other_foreign_weight,real_fraction,null_median,null_q05,null_q95,delta,effect_ratio,p_right,p_left,p_two_sided,q_bh_right,p_holm_right,pass_node_q95,top_foreign_source,status,preview
chunk:0066126ec8be360207250c0e,3,9,0,3,0.0,1.8410716667314737,0.059698887886067406,0.06696540742785634,0.019280689973494688,0.15190110515891467,-0.007266519541788932,0.8914884591777127,0.5610877824435113,0.4391121775644871,0.8782243551289742,0.6436006916263807,1.0,False,04_MCR_Solution-Space-Resolution.md,OK,"Once difference exists, relation becomes meaningful. Once relations can be composed, ordering can emerge. Once ordering "
chunk:00d6a0ab0e74b4a9f5dd1bee,3,6,0,0,0.0,0.0,0.07990546491463615,0.053848507128389365,0.01300504774428795,0.18235420315617057,0.02605695778624679,1.4838937823126641,0.382123575284943,0.6180763847230554,0.764247150569886,0.5200752952857705,1.0,False,04_MCR_Solution-Space-Resolution.md,OK,The hard constraint is simply that causality must be defined without sneaking temporal language back into it. Something 
chunk:046d440341933f706d1b8439,2,9,0,1,0.0,0.574744201141939,0.1099063399850469,0.06383902800487688,0.01668759853179793,0.15982169002132768,0.046067311980170014,1.7216167510672433,0.19456108778244352,0.8056388722255549,0.38912217556488704,0.3449037465234226,1.0,False,04_MCR_Solution-Space-Resolution.md,OK,[ \boxed{\text{Causality and logic are the earliest presently resolved primitives}} ] and: [ \boxed{\text{I do not claim
chunk:10d0a60b8e6386542f7f2e0f,2,7,0,0,0.0,0.0,0.14345380365989016,0.059886940240822494,0.01900285210989198,0.15991596064712102,0.08356686341906766,2.3954104698457033,0.07758448310337933,0.9226154769046191,0.15516896620675866,0.15925236005430493,1.0,False,02_MCR_Formal-Plan.md,OK,"where (\Omega_t) is the set of structures still compatible with everything resolved by time (t). Eventually, if reality "
chunk:1509a86b23339a5bdecbd4ef,1,8,2,2,1.131865795977064,1.2369587527037103,0.195513185851755,0.06532723613828167,0.024359916231410723,0.14264735008950047,0.13018594971347333,2.9928280669627862,0.004199160167966407,0.996000799840032,0.008398320335932814,0.018196360727854428,0.13017396520695862,True,02_MCR_Formal-Plan.md,OK,"Later interfaces or newly available degrees of freedom could expose distinctions that were previously collapsed, making "
chunk:15530bec75bd4255e14a2c87,4,4,0,2,0.0,1.2266060592181236,0.03784109659988013,0.05527055274242132,0.014557197977496389,0.1770661943216996,-0.01742945614254119,0.6846520384232794,0.6642671465706859,0.3359328134373125,0.671865626874625,0.7001734788177499,1.0,False,04_MCR_Solution-Space-Resolution.md,OK,"For the NAND latch, you can look at “memory” without initially invoking time at all. The coupled equations have multiple"
chunk:1f6827b9769e9bd273517c15,2,5,0,0,0.0,0.0,0.17039617954422945,0.060766594403832405,0.018237171613437006,0.1614486064186669,0.10962958514039704,2.8041094159702156,0.038792241551689664,0.9614077184563088,0.07758448310337933,0.09455608878224356,0.9310137972405519,True,02_MCR_Formal-Plan.md,OK,And researchers are not immune to this problem. Academic specialization arguably makes it worse in some contexts because
chunk:200202c266d77d741c57e275,3,7,0,0,0.0,0.0,0.082228562060361,0.05536737241605774,0.01428662928253565,0.17503087016568322,0.026861189644303257,1.485144742691689,0.3767246550689862,0.6234753049390122,0.7534493101379725,0.5200752952857705,1.0,False,04_MCR_Solution-Space-Resolution.md,OK,"Yes. And the strongest version of that claim is more interesting than “causality existed before time,” because taken lit"
chunk:205b7623e89a9ec70a13a9d3,1,7,3,0,1.734048583373366,0.0,0.45192580189733467,0.06803339821154292,0.024553855221734023,0.13319671900722502,0.38389240368579175,6.64270510921882,0.0001999600079984003,1.0,0.0003999200159968006,0.001299740051989602,0.007798440311937612,True,00_MCR_Origin.md,OK,[ \boxed{\text{operationally irreducible}} ] and quietly convert it into: [ \boxed{\text{ontologically irreducible}} ] “
chunk:218189649ddef45adab80203,2,5,0,4,0.0,2.4860711077536526,0.04212843278927848,0.0694659345338034,0.028497669560621698,0.13015976036138482,-0.027337501744524914,0.6064617581554023,0.8438312337532493,0.15636872625474904,0.3127374525094981,0.866037318852019,1.0,False,02_MCR_Formal-Plan.md,OK,That gives a rigorous form to what you're describing: > **An argument can be defeated upstream without contesting its do
